name,category
libheros,"SaaS / Cloud Services, Santé, Services à la personne"
axionable,"Big Data, Digital Marketing / Data Marketing, Intelligence artificielle / Machine Learning"
tenzing-conseil,Stratégie
auditoire,"Design, Evénementiel, Publicité, Stratégie"
theodo,"Digital, IT / Digital"
speaking-agency,"Education, Formation"
xebia,"Audit, IT / Digital"
dodow,"Art de vivre, Grande distribution, Santé"
tie-rack,"E-commerce, Mode"
jems,"Big Data, Digital Marketing / Data Marketing, Transformation"
sassy,Boissons
bam,Application mobile
hipay,"E-commerce, FinTech / InsurTech"
myflexoffice,Immobilier commercial
sopra-steria,Organisation / Management
expertime,"E-commerce, IT / Digital"
groupe-upward,"Big Data, Recrutement, Stratégie"
balinea,"Application mobile, E-commerce"
beekast,"Education, IT / Digital, Organisation / Management"
intellicast,"IT / Digital, Marketing / Communication"
potager-city,"E-commerce, Environnement / Développement durable, FoodTech"
kwerk,"Coworking, Économie collaborative"
manutan,E-commerce
advalo,"Big Data, Marketing / Communication, SaaS / Cloud Services"
talkspirit,"Logiciels, SaaS / Cloud Services"
zepresenters,"Marketing / Communication, Stratégie"
beendhi,Grande consommation
meilleursagents,"Application mobile, Immobilier particulier, Logiciels"
gameloft,Jeux vidéos
junot,"Immobilier commercial, Immobilier particulier"
coorpacademy,EdTech
prochaine-escale,"Ressources humaines, Tourisme"
slidor,"Design, Digital"
meltwater,"Digital, IT / Digital, Marketing / Communication"
nutri&co,"Art de vivre, E-commerce, FoodTech, Grande consommation, Santé"
choosemycompany,"Média, Organisation / Management, Recrutement"
nannybag,"Application mobile, Hôtellerie, Tourisme"
linkt,"Electronique / Télécommunications, IT / Digital"
hypios-ci,Intelligence artificielle / Machine Learning
adie,"Services à la personne, Social / Associatif"
studio-71,"Marketing / Communication, Média"
csn-energy,"Energie, SaaS / Cloud Services"
bonitasoft,Digital
kartable,"EdTech, Education, Formation"
tiime,"Application mobile, Organisation / Management"
blendy-by-cogesten-(bbyc),"Audit, Banque, Organisation / Management"
talan-labs,"Big Data, IT / Digital, Intelligence artificielle / Machine Learning"
paybyphone,"Application mobile, Mobilité"
dolead,"IT / Digital, Publicité"
notify,"AdTech  / MarTech, Big Data"
gitguardian,Cybersécurité
onedirect,"Distribution sélective, E-commerce"
virtuo,"Application mobile, Automobile, Mobilité"
startup-palace,"Organisation / Management, Stratégie, Transformation"
spareka,E-commerce
adomik,"Marketing / Communication, SaaS / Cloud Services"
yce-partners,"Organisation / Management, Transformation"
wesharebonds,FinTech / InsurTech
andjaro,"Recrutement, SaaS / Cloud Services"
palais-des-thés,"Boissons, Epicerie fine"
wizville,SaaS / Cloud Services
quorum,"Application mobile, Relations publiques"
lehibou,IT / Digital
papernest,"E-commerce, Logiciels"
cogitax,Transaction Services
frizbiz,"Services à la personne, Économie collaborative"
vialink,"Intelligence artificielle / Machine Learning, Logiciels"
groupe-buffon,"Distribution sélective, FoodTech"
instant-system,"Application mobile, Mobilité"
lafayette-plug-and-play,"Incubateur / Accélérateur, Mode"
hello-syndic,Immobilier particulier
gocater,"E-commerce, FoodTech"
listo,"Big Data, Recrutement, SaaS / Cloud Services"
ubeeqo,"Application mobile, Mobilité"
smart-tribune,"Digital, Digital Marketing / Data Marketing, SaaS / Cloud Services"
sensiogrey,"Application mobile, Marketing / Communication, Stratégie"
baltic-watches,"E-commerce, Luxe, Mode"
frequent-flyer-travel-paris,"Mobilité, Tourisme"
mon-maître-carré,"Aménagement / Design, Architecture, SaaS / Cloud Services"
padoa,"Application mobile, Santé"
business-table,FoodTech
simplis-partenaire-de-auto-entrepreneur.fr,FinTech / InsurTech
idomed,"Objets connectés, Santé, Services à la personne"
club-freelance,"IT / Digital, Transformation"
potloc-france,"AdTech  / MarTech, Digital Marketing / Data Marketing"
contentsquare,SaaS / Cloud Services
bapbap,Boissons
dear-muesli,"E-commerce, Epicerie fine, Grande consommation"
qwant,Big Data
sales-lab-france,"Immobilier commercial, Organisation / Management, Publicité, Tourisme"
codingame,"Formation, Jeux vidéos, Logiciels"
lucile-woodward-sas,"Santé, Sport"
livementor,"E-commerce, EdTech, Logiciels"
easyteam,"IT / Digital, Stratégie, Transformation"
feed,"E-commerce, FoodTech"
ekimetrics,"Big Data, IT / Digital"
yoomap,"Logiciels, Stratégie"
very-up,"Big Data, Education, Formation"
perfectstay,"Hôtellerie, Tourisme"
nuxeo,Logiciels
shift-technology,"FinTech / InsurTech, Intelligence artificielle / Machine Learning"
sfeir,Logiciels
dayuse.com,Tourisme
buzz-brothers,Marketing / Communication
keyopstech,"Application mobile, Logistique"
chefclub,"Application mobile, Grande consommation, Télévision / Production audiovisuelle"
eurécia,"Logiciels, Ressources humaines, SaaS / Cloud Services"
dental-monitoring,"Application mobile, Intelligence artificielle / Machine Learning, Santé"
viva-technology,Evénementiel
verteego,"Big Data, Intelligence artificielle / Machine Learning, Logiciels"
iziwork,"Application mobile, Recrutement"
jc-armand-et-associes,Audit
cowork.io,"Coworking, Objets connectés, SaaS / Cloud Services"
cartesia-éducation,"Education, Formation"
urban-campus,"Coworking, Immobilier commercial"
l-commerce-–-mouvement-e.leclerc,"E-commerce, Grande distribution"
kwyk,"EdTech, Education"
pap,"Application mobile, Immobilier particulier, Média"
karos,"Application mobile, Mobilité, Économie collaborative"
dispatcher,"Application mobile, Big Data, Bâtiment / Travaux publics, Objets connectés"
bynativ,"Loisirs, Tourisme"
equinimo,Immobilier particulier
tracktor,"Bâtiment / Travaux publics, E-commerce, Logistique"
qualifio,"AdTech  / MarTech, Big Data"
les-talents-d'alphonse,"Services à la personne, Social / Associatif, Économie collaborative"
edf,Energie
rhythmone,"AdTech  / MarTech, Big Data, SaaS / Cloud Services"
aptiskills,"Bâtiment / Travaux publics, Organisation / Management"
unique-heritage-media,"Application mobile, Education, Média"
front,SaaS / Cloud Services
flatsy,"Immobilier commercial, Immobilier particulier, SaaS / Cloud Services"
teaminside,Recrutement
